DSpace ID	Issue Date	Title	Author	Dataspace Link	Sponsoring Organizations	DOE Contract	Datatype	Non-DOE Contract
138119	2021-09	Wall conditioning and ELM mitigation with boron nitride powder injection in KSTAR	Gilson, Erik;Lee, H;Bortolon, A;Choe, W;Diallo, A;Hong, SH;Lee, HM;Maingi, R;Mansfield, DK;Nagy, A;Park, SH;Song, IW;Song, JI;Yun, SW;Nazikian, R	https://dataspace.princeton.edu/handle/88435/dsp01hh63t006w	USDOE Office of Science (SC)	AC02-09CH11466	FP	EN2101-12;IN2010-3;NRF-2019M1A7A1A03087560
152336	2022-09-06	Linear ion-scale micro-stability analysis of high and low-collisionality NSTX discharges and NSTX-U projections	Clauser, Cesar;Guttenfelder, Walter;Rafiq, Tariq;Schuster, Eugenio	https://dataspace.princeton.edu/handle/88435/dsp01ng451m72r	USDOE Office of Science (SC)	SC0013977;SC0021385	ND	
128661	2021-11-09	Development of a reduced model for energetic particle transport by sawteeth in tokamaks	Podesta, Mario	https://dataspace.princeton.edu/handle/88435/dsp013197xq19q	USDOE Office of Science (SC)	AC02-09CH11466	ND	
131221	2021-12	Coupling between Alfven wave and Kelvin-Helmholtz waves in the low latitude boundary layer	Kim, Eun-Hwa;Johnson, Jay;Nykyri, Katariina	https://dataspace.princeton.edu/handle/88435/dsp013r074z09k	USDOE Office of Science (SC)	AC02-09CH11466	SM	
133782	2022	Initial Results from Boron Powder Injection Experiments in WEST Lower Single Null L-mode Plasmas	Bodner, Grant;Gallo, Alberto;Diallo, Ahmed;Lunsford, Robert;Moreau, Philippe;Nagy, Alex;Pellissier, Francis-Pierre;Guillemaut, Christophe;Gunn, James;Bourdelle, Clarisse;Desgranges, Corinne;Manas, Pierre;Bortolon, Alessandro;Klepper, Christopher;Tsitrone, Emanuelle;Unterberg, Ezekial;Vermare, Laure	https://dataspace.princeton.edu/handle/88435/dsp01cr56n4150	USDOE Office of Science (SC)	AC02-09CH11466	SM	
152342	2022	Design of an arrangement of cubic magnets for a quasi-axisymmetric stellarator experiment	Hammond, Kenneth;Zhu, Caoxiang;Korrigan, Keith;Gates, David;Lown, Robert;Mercurio, Robert;Qian, Tony;Zarnstorff, Michael	https://dataspace.princeton.edu/handle/88435/dsp01x059cb547	USDOE Office of Science (SC)	AC02-09CH11466	SM	
151829	2022-08-30	Electron Temperature Gradient Driven Transport Model for Tokamak Plasmas	Rafiq, Tariq;Wilson, Christopher;Luo, Lixiang;Weiland, Jan;Schuster, Eugenio;Pankin, Alexei;Guttenfelder, Walter;Kaye, Stan	https://dataspace.princeton.edu/handle/88435/dsp015d86p342b	USDOE Office of Science (SC)	SC0013977;SC0021385	ND	
137762	2022	Effects of collisional ion orbit loss on neoclassical tokamak radial electric fields	Zhu, Hongxuan;Stoltzfus-Dueck, T;Hager, R;Ku, S;Chang, C. S.	https://dataspace.princeton.edu/handle/88435/dsp01qz20sw65g	USDOE Office of Science (SC)	AC02-05CH11231;AC02-09CH11466	ND	
150055	2022	Supplemental material for: Verification, validation, and results of an approximate model for the stress of a Tokamak toroidal field coil at the inboard midplane	Swanson, CPS;Kahn, S;Rana, C;Titus, PH;Brooks, AW;Guttenfelder, W;Zhai, Y;Brown, TG;Menard, JE	https://dataspace.princeton.edu/handle/88435/dsp01rb68xg060	USDOE Office of Science (SC)	AC02-09CH11466	SM	
126899	2021	Prototype tests of the Electromagnetic Particle Injector-2 for Fast Time Response Disruption Mitigation in Tokamaks	Raman, Roger;Lunsford, Robert;Clauser, C.F.;Jardin, S.C;Menard, J.E.;Ono, M.	https://dataspace.princeton.edu/handle/88435/dsp013j3335393	USDOE Office of Science (SC)	AC02-09CH11466;SC0006757	SM	
139829	2022	Interpreting ion-energy distributions using charge exchange emitted from deeply kinetic field-reversed-configuration plasmas	Glasser, Alan;Cohen, Samuel	https://dataspace.princeton.edu/handle/88435/dsp01pk02cd897	USDOE Office of Science (SC)	AC02-09CH11466	FP	
148405	2022-07-26	Parametric dependencies of resonant layer responses across linear, two-fluid, drift-MHD regimes	Park, Jong-Kyu	https://dataspace.princeton.edu/handle/88435/dsp0170795b825	USDOE Office of Science (SC)	AC02-09CH11466	FP	
144183	2022-06-06	Study of Stark Broadening of Krypton Helium-beta Lines and Estimation of Electron Density and Temperature in NIF Compressed Capsules	Hill, K. W.;Gao, L.;Kraus, B. F.;Bitter, M.;Efthimion, P. C.;Pablant, N. A.;Schneider, M. B.;Thorn, D. B.;Chen, H.;Kauffman, R. L.;Liedahl, D. A.;MacDonald, M. J.;MacPhee, A. G.;Scott, H. A.;Stoupin, S.;Doron, R.;Stambulchik, E.;Maron, Y.;Lahmann, B.	https://dataspace.princeton.edu/handle/88435/dsp01xk81jp54s	USDOE Office of Science (SC)	AC02-09CH11466	ND	
126327	2021	Predicting Resistive Wall Mode Stability in NSTX through Balanced Random Forests and Counterfactual Explanations	Piccione, Andrea;Sabbagh, Steven;Andreopoulos, Yiannis	https://dataspace.princeton.edu/handle/88435/dsp015q47rr88m	USDOE Office of Science (SC)	SC0018623	ND	
130497	2021-12-06	Impact of edge harmonic oscillations on the divertor heat flux in NSTX	Gan, Kaifu;Gray, Travis;Zweben, Stewart;Eric, Fredrickson;Maingi, Rajesh;Battaglia, Devon;McLean, Adam;Wirth, Brian	https://dataspace.princeton.edu/handle/88435/dsp019c67wq96p	USDOE Office of Science (SC)	SC0016915	ND	
139601	2022-04	To dee or not to dee: costs and benefits of altering the triangularity of a steady-state DEMO-like reactor	Schwartz, Jacob A.;Nelson, A. O.;Kolemen, Egemen	https://dataspace.princeton.edu/handle/88435/dsp01rf55zb85t	USDOE Office of Science (SC)	AC02-09CH11466	SM	
146393	2022	Identification of a non-axisymmetric mode in laboratory experiments searching for standard magnetorotational instability	Wang, Yin;Gilson, Erik P.;Ebrahimi, Fatima;Goodman, Jeremy;Caspary, Kyle J.;Winarto, Himawan W.;Ji, Hantao	https://dataspace.princeton.edu/handle/88435/dsp01sx61dq46q	USDOE Office of Science (SC)	AC02-09CH11466	ND	AST-2108871;NNH15AB25I
133856	2022-01-18	Correlation between the relative blob fraction and plasma parameters in NSTX	Zweben, S,J.;Banerjee, S;Bisai, N;Diallo, A;Lampert, M;LeBlanc, B;Myra, JR;Russell, D.A.	https://dataspace.princeton.edu/handle/88435/dsp01qb98mj62b	USDOE Office of Science (SC)	AC02-09CH11466	ND	
126951	2021-10-20	Stellarator coil design using cubic splines for improved access on the outboard side	Nicola, Lonigro;Zhu, Caoxiang	https://dataspace.princeton.edu/handle/88435/dsp01q811kn76d	USDOE Office of Science (SC)	AC02-09CH11466	SM	
145895	2021	Plasma Facing Components with Capillary Porous System and Liquid Metal Coolant Flow	Khodak, Andrei;Maingi, Rajesh	https://dataspace.princeton.edu/handle/88435/dsp019w032619d	USDOE Office of Science (SC)	AC02-09CH11466	SM	
148076	2022-07-21	Temporal Structure of Blobs in NSTX	Lampert, Mate	https://dataspace.princeton.edu/handle/88435/dsp01zp38wg800	USDOE Office of Science (SC)	AC02-09CH11466	SM	
132717	2022-01	Fusion Pilot Plant performance and the role of a Sustained High Power Density tokamak	Menard, Jonathan;Grierson, Brian;Brown, Tom;Rana, Chirag;Zhai, Yuhu;Poli, Francesca;Maingi, Rajesh;Guttenfelder, Walter;Snyder, Philip	https://dataspace.princeton.edu/handle/88435/dsp01kk91fp703	USDOE Office of Science (SC)	AC02-09CH11466	SM	
151788	2022-09	Internal Rotation of ELM Filaments on NSTX	Lampert, Mate;Diallo, Ahmed;Zweben, Stewart;Myra, Jim	https://dataspace.princeton.edu/handle/88435/dsp011n79h751f	USDOE Office of Science (SC)	AC02-09CH11466	ND	
142447	2022	The dispersion and propagation of topological Langmuir-cyclotron waves in cold magnetized plasmas	Fu, Yichen;Qin, Hong	https://dataspace.princeton.edu/handle/88435/dsp011g05ff77b	USDOE Office of Science (SC)	AC02-09CH11466	AS	
151535	2022	Streaked Sub-ps-resolution X-ray Line Shapes and Implications for Solid-density Plasma Dynamics	Gao, Lan;Hill, K. W.;Bitter, M.;Efthimion, P. C.;Hollinger, R.;Wang, Shoujun;Song, Huanyu;Nedbailo, R.;Rocca, J. J.;Mancini, R. C.;MacDonald, M. J.;Beatty, C. B.;Shepherd, R.	https://dataspace.princeton.edu/handle/88435/dsp013n2042309	USDOE Office of Science (SC)	AC02-09CH11466	ND	
152434	2022-09	Source data for "Observation of Axisymmetric Standard Magnetorotational Instability in the Laboratory"	Wang, Yin;Gilson, Erik;Ebrahimi, Fatima;Goodman, Jeremy;Ji, Hantao	https://dataspace.princeton.edu/handle/88435/dsp018623j1954	USDOE Office of Science (SC)	AC02-09CH11466	ND	AST-2108871;NNH15AB25I
137079	2022	Gyrokinetic simulations of momentum flux parasitic to free-energy transfer	Stoltzfus-Dueck, T;Hornsby, W A;Grosshauser, S R	https://dataspace.princeton.edu/handle/88435/dsp011g05ff76p	USDOE Office of Science (SC)	AC02-09CH11466	ND	
136440	2022	Nonlinear growth of magnetic islands by passing fast ions in NSTX	Yang, James;Fredrickson, Eric;Podestà, Mario;Poli, Francesca	https://dataspace.princeton.edu/handle/88435/dsp01pz50h025c	USDOE Office of Science (SC)	AC02-09CH11466	SM	
146170	2022	Electron heating in 2-D: combining Fermi-Ulam acceleration and magnetic-moment non-adiabaticity in a mirror-configuration plasma	Swanson, Charles;Galea, Christopher	https://dataspace.princeton.edu/handle/88435/dsp01xp68kk38z	USDOE Office of Science (SC)	AC02-09CH11466	FP	
